id,depo,distance,centroidX,centroidY,centroidZ
m01,1.22368,12.23237835,11.8174,16.1569,7.56431
m01,0.182637,17.57310065,10.4752,15.3219,1.97947
m01,1.8132,10.22434978,10.0844,11.6293,8.73278
m01,0.817754,12.28395979,12.7853,13.0605,6.82132
m01,1.96845,8.327645599,12.4462,15.1936,11.33
m01,2.12156,9.999853296,8.65092,12.6786,9.23987
m01,0.951681,7.838527354,13.524,12.937,11.3125
m01,1.06272,13.25285587,10.8392,13.9541,6.09536
m01,1.93395,12.5618403,8.23392,14.664,7.05429
m01,1.26175,14.28726791,9.63363,14.0379,5.10266
m01,1.5731,9.188475609,10.4223,13.6012,10.1941
m01,1.29921,13.78442283,11.6814,16.331,6.01907
m01,1.45712,11.81409504,10.1102,13.0014,7.39489
m01,0.734003,13.49728538,12.7528,15.1851,6.02916
m01,0.814734,14.6607535,13.091,14.9753,4.78177
m01,1.98939,11.29424689,7.6937,13.4182,8.1096
m01,1.29974,8.165561748,12.6567,11.4937,10.7083
m01,1.42755,10.67914112,12.15,15.9434,9.09472
m01,1.10033,11.80424107,11.6168,13.4313,7.43609
m01,1.48667,12.0776107,10.5736,16.3602,7.81445
